Age,Gender,Marital_Status,Attrition,Attrition_Flag,Business_Travel,Department,Education_Level,Education_Field,Daily_Rate,Hourly_Rate,Monthly_Income,Monthly_Rate,Percent_Salary_Hike,Stock_Option_Level,Job_Role,Job_Level,Job_Involvement,Overtime,Environment_Satisfaction,Job_Satisfaction,Relationship_Satisfaction,Work_Life_Balance,Performance_Rating,Total_Working_Years,Num_Companies_Worked,Training_Times_Last_Year,Years_At_Company,Years_In_Current_Role,Years_Since_Last_Promotion,Years_With_Current_Manager,Distance_From_Home,Age_Group,Income_Bracket,Tenure_Group
40,Female,Single,Yes,1,Non-Travel,Sales,Bachelor,"Life Sciences",1479,100,13194,17071,16,0,"Sales Executive",4,"Very High",Yes,Medium,Medium,"Very High",Good,Excellent,22,4,2,1,0,0,0,24,"Mid Career","High Income","New Employee"
47,Male,Divorced,No,0,Travel_Frequently,"Research & Development",Master,Medical,1379,64,5067,6759,19,0,"Manufacturing Director",2,"Very High",Yes,High,High,High,Best,Excellent,20,1,3,19,10,2,7,16,"Senior Employee","Mid Income",Veteran
36,Male,Divorced,No,0,Non-Travel,Sales,Master,"Technical Degree",1229,84,5079,25952,13,2,"Sales Executive",2,High,No,Low,"Very High","Very High",Better,Excellent,12,4,3,7,7,0,7,8,"Mid Career","Mid Income",Experienced
31,Male,Single,Yes,1,Non-Travel,"Research & Development",College,Medical,335,46,2321,10322,22,0,"Research Scientist",1,Medium,Yes,High,Low,Low,Better,Outstanding,4,0,0,3,2,1,2,9,"Early Career","Low Income","Early Tenure"
33,Male,Single,No,0,Non-Travel,Sales,Bachelor,"Life Sciences",722,38,17444,20489,11,0,Manager,4,High,No,"Very High",High,"Very High",Better,Excellent,10,1,2,10,8,6,0,17,"Early Career","High Income",Experienced
29,Female,Single,Yes,1,Travel_Rarely,"Research & Development",Bachelor,"Life Sciences",906,92,2404,11479,20,0,"Research Scientist",1,Medium,Yes,"Very High",Low,High,Better,Outstanding,3,6,5,0,0,0,0,10,"Early Career","Low Income","New Employee"
33,Female,Single,No,0,Travel_Rarely,"Research & Development","Below College","Life Sciences",461,53,3452,17241,18,0,"Research Scientist",1,High,No,Medium,"Very High",Low,Better,Excellent,5,3,4,3,2,0,2,13,"Early Career","Mid Income","Early Tenure"
45,Female,Divorced,No,0,Travel_Rarely,"Research & Development",Master,Medical,974,91,2270,11005,14,2,"Laboratory Technician",1,High,No,"Very High","Very High","Very High",Better,Excellent,8,3,2,5,3,0,2,1,"Mid Career","Low Income","Early Tenure"
50,Male,Divorced,No,0,Travel_Rarely,"Research & Development",College,Medical,1126,66,17399,6615,22,1,"Research Director",4,High,No,"Very High","Very High",High,Good,Outstanding,32,9,1,5,4,1,3,1,"Senior Employee","High Income","Early Tenure"
33,Female,Married,No,0,Travel_Frequently,"Research & Development",Master,Other,827,84,5488,20161,13,1,"Healthcare Representative",2,"Very High",Yes,High,Medium,Low,Better,Excellent,6,1,2,6,5,1,2,1,"Early Career","Mid Income",Experienced
41,Male,Divorced,No,0,Travel_Frequently,"Research & Development",Bachelor,Medical,840,64,19419,3735,17,1,"Research Director",5,High,No,Low,High,Medium,Best,Excellent,21,2,2,18,16,0,11,9,"Mid Career","High Income",Veteran
27,Female,Married,No,0,Travel_Rarely,"Research & Development",Master,"Technical Degree",1134,37,2811,12086,14,1,"Laboratory Technician",1,High,No,High,Medium,Medium,Better,Excellent,4,9,2,2,2,2,2,16,"Early Career","Low Income","New Employee"
45,Male,Married,No,0,Non-Travel,"Research & Development",College,"Life Sciences",248,42,3633,14039,15,1,"Laboratory Technician",2,High,Yes,"Very High",Low,High,Better,Excellent,9,1,2,9,8,0,8,23,"Mid Career","Mid Income",Experienced
47,Female,Single,No,0,Travel_Rarely,Sales,College,"Life Sciences",955,83,4163,8571,17,0,"Sales Executive",2,High,Yes,"Very High","Very High",High,Better,Excellent,9,1,0,9,0,0,7,4,"Senior Employee","Mid Income",Experienced
30,Female,Married,Yes,1,Travel_Rarely,"Research & Development",Bachelor,"Life Sciences",138,48,2132,11539,11,0,"Research Scientist",1,High,Yes,Low,High,Medium,Better,Excellent,7,4,2,5,2,0,1,22,"Early Career","Low Income","Early Tenure"
50,Male,Married,No,0,Travel_Rarely,"Research & Development",Bachelor,"Life Sciences",939,95,13973,4161,18,1,"Manufacturing Director",4,High,Yes,"Very High",High,"Very High",Better,Excellent,22,3,2,12,11,1,5,24,"Senior Employee","High Income",Veteran
38,Male,Married,No,0,Travel_Frequently,"Research & Development","Below College",Medical,1391,66,2684,12127,17,1,"Research Scientist",1,High,No,High,High,Medium,Good,Excellent,3,0,0,2,1,0,2,10,"Mid Career","Low Income","New Employee"
46,Male,Divorced,No,0,Travel_Rarely,"Research & Development",College,Medical,566,75,10845,24208,13,1,"Manufacturing Director",3,High,No,"Very High",High,Medium,Better,Excellent,13,6,3,8,7,0,7,7,"Senior Employee","High Income",Experienced
24,Female,Divorced,No,0,Travel_Rarely,"Research & Development","Below College",Medical,1206,41,4377,24117,15,2,"Manufacturing Director",2,Medium,No,"Very High",High,Medium,Better,Excellent,5,1,6,4,2,3,2,17,"Young Adult","Mid Income","Early Tenure"
35,Male,Divorced,Yes,1,Travel_Rarely,"Research & Development",Master,Other,622,39,3743,10074,24,1,"Laboratory Technician",1,Medium,Yes,High,Medium,"Very High",Bad,Outstanding,5,1,2,4,2,0,2,14,"Early Career","Mid Income","Early Tenure"
31,Female,Married,No,0,Travel_Frequently,"Research & Development","Below College","Life Sciences",853,96,4148,11275,12,1,"Manufacturing Director",2,High,No,High,Low,High,Better,Excellent,4,1,1,4,3,0,3,1,"Early Career","Mid Income","Early Tenure"
18,Male,Single,No,0,Non-Travel,"Research & Development",College,"Life Sciences",287,73,1051,13493,15,0,"Research Scientist",1,High,No,Medium,"Very High","Very High",Better,Excellent,0,1,2,0,0,0,0,5,"Young Adult","Low Income","New Employee"
54,Female,Married,No,0,Travel_Rarely,"Research & Development",Bachelor,"Technical Degree",1441,56,10739,13943,11,1,"Manufacturing Director",3,High,No,High,High,High,Better,Excellent,22,8,2,10,7,0,8,17,"Senior Employee","High Income",Experienced
35,Female,Divorced,No,0,Travel_Rarely,"Research & Development",Master,Medical,583,57,10388,6975,11,1,"Healthcare Representative",3,High,Yes,High,High,High,Good,Excellent,16,1,3,16,10,10,1,25,"Early Career","High Income",Veteran
30,Female,Married,No,0,Travel_Rarely,"Research & Development",College,"Life Sciences",153,73,11416,17802,12,3,"Research Director",3,"Very High",Yes,Medium,Low,High,Good,Excellent,9,0,4,8,7,1,7,8,"Early Career","High Income",Experienced
20,Female,Single,Yes,1,Travel_Rarely,"Research & Development",Bachelor,Medical,1097,98,2600,18275,15,0,"Research Scientist",1,Medium,Yes,"Very High",Low,Low,Better,Excellent,1,1,2,1,0,0,0,11,"Young Adult","Low Income","New Employee"
30,Female,Single,Yes,1,Travel_Frequently,"Research & Development",Bachelor,Medical,109,60,2422,25725,17,0,"Laboratory Technician",1,High,No,Medium,Medium,Low,Better,Excellent,4,0,3,3,2,1,2,5,"Early Career","Low Income","Early Tenure"
26,Male,Married,No,0,Travel_Rarely,"Research & Development",College,Medical,1066,32,5472,3334,12,0,"Manufacturing Director",2,"Very High",No,"Very High","Very High",Medium,Better,Excellent,8,1,2,8,7,1,3,2,"Early Career","Mid Income",Experienced
22,Male,Married,No,0,Travel_Rarely,"Research & Development","Below College","Life Sciences",217,94,2451,6881,15,1,"Laboratory Technician",1,Low,No,Medium,Low,Low,Good,Excellent,4,1,3,4,3,1,1,8,"Young Adult","Low Income","Early Tenure"
48,Male,Single,No,0,Travel_Rarely,"Research & Development",Bachelor,"Life Sciences",277,97,4240,13119,13,0,"Healthcare Representative",2,Medium,No,Low,High,"Very High",Better,Excellent,19,2,0,2,2,2,2,6,"Senior Employee","Mid Income","New Employee"
48,Male,Single,No,0,Travel_Rarely,"Research & Development",Master,"Life Sciences",1355,78,10999,22245,14,0,"Healthcare Representative",3,Medium,No,High,High,Medium,Better,Excellent,27,7,3,15,11,4,8,4,"Senior Employee","High Income",Veteran
41,Female,Single,No,0,Travel_Rarely,"Research & Development",College,Medical,549,42,5003,23371,14,0,"Manufacturing Director",2,High,No,"Very High",High,Medium,Better,Excellent,8,6,6,2,2,2,1,7,"Mid Career","Mid Income","New Employee"
39,Female,Married,No,0,Travel_Rarely,"Research & Development","Below College","Life Sciences",466,65,12742,7060,16,1,"Manufacturing Director",4,Medium,No,"Very High","Very High",High,Better,Excellent,21,1,3,21,6,11,8,1,"Mid Career","High Income",Veteran
27,Female,Married,No,0,Travel_Rarely,"Research & Development",Master,"Life Sciences",1055,47,4227,4658,18,1,"Manufacturing Director",2,High,No,Low,"Very High",Medium,Better,Excellent,4,0,2,3,2,2,2,2,"Early Career","Mid Income","Early Tenure"
35,Male,Divorced,No,0,Travel_Rarely,"Research & Development",Bachelor,Other,802,45,3917,9541,20,1,"Laboratory Technician",1,High,No,Medium,"Very High",Low,Good,Outstanding,3,1,4,3,2,1,2,10,"Early Career","Mid Income","Early Tenure"
42,Male,Married,No,0,Travel_Rarely,Sales,College,Marketing,265,90,18303,7770,13,0,Manager,5,High,No,"Very High",High,Medium,Best,Excellent,21,6,3,1,0,0,0,5,"Mid Career","High Income","New Employee"
50,Male,Married,No,0,Travel_Rarely,"Research & Development",Bachelor,"Life Sciences",804,64,2380,20165,18,0,"Laboratory Technician",1,High,No,Low,"Very High",Medium,Better,Excellent,8,4,5,1,0,0,0,9,"Senior Employee","Low Income","New Employee"
59,Female,Single,No,0,Travel_Rarely,"Research & Development",Bachelor,"Life Sciences",715,69,13726,21829,13,0,"Manufacturing Director",4,Medium,Yes,High,"Very High",Low,Better,Excellent,30,3,4,5,3,4,3,2,"Senior Employee","High Income","Early Tenure"
37,Female,Married,Yes,1,Travel_Rarely,"Research & Development",College,Medical,1141,61,4777,14382,15,0,"Healthcare Representative",2,Low,No,Low,Medium,Low,Bad,Excellent,15,5,2,1,0,0,0,11,"Mid Career","Mid Income","New Employee"
55,Male,Married,No,0,Travel_Frequently,"Research & Development",Master,Medical,135,62,6385,12992,14,2,"Healthcare Representative",2,High,Yes,High,Medium,"Very High",Better,Excellent,17,3,3,8,7,6,7,18,"Senior Employee","Mid Income",Experienced
41,Female,Divorced,No,0,Non-Travel,"Research & Development","Below College","Life Sciences",247,55,19973,20284,22,2,"Research Director",5,Low,No,Medium,High,Medium,Better,Outstanding,21,1,3,21,16,5,10,7,"Mid Career","High Income",Veteran
38,Male,Single,No,0,Travel_Rarely,Sales,Master,"Life Sciences",1035,42,6861,4981,12,0,"Sales Executive",2,High,Yes,Medium,"Very High",High,Better,Excellent,19,8,1,1,0,0,0,3,"Mid Career","Mid Income","New Employee"
26,Male,Single,Yes,1,Non-Travel,Sales,College,Medical,265,79,4969,21813,18,0,"Sales Executive",2,Low,No,Medium,Low,"Very High",Better,Excellent,7,8,6,2,2,2,2,29,"Early Career","Mid Income","New Employee"
52,Female,Married,Yes,1,Travel_Rarely,Sales,"Below College",Marketing,266,57,19845,25846,15,1,Manager,5,Low,No,Low,"Very High","Very High",Better,Excellent,33,1,3,32,14,6,9,2,"Senior Employee","High Income",Veteran
44,Female,Married,No,0,Travel_Rarely,Sales,Bachelor,Medical,1448,53,13320,11737,18,1,"Sales Executive",4,"Very High",Yes,"Very High","Very High",High,Better,Excellent,23,3,2,12,11,11,11,28,"Mid Career","High Income",Veteran
50,Female,Married,No,0,Non-Travel,Sales,Bachelor,"Life Sciences",145,95,6347,24920,12,1,"Sales Executive",2,High,No,"Very High",High,Low,Better,Excellent,19,0,3,18,7,0,13,1,"Senior Employee","Mid Income",Veteran
36,Female,Single,Yes,1,Travel_Rarely,"Research & Development",Master,"Life Sciences",885,43,2743,8269,16,0,"Laboratory Technician",1,"Very High",No,High,Low,High,Better,Excellent,18,1,1,17,13,15,14,16,"Mid Career","Low Income",Veteran
39,Female,Single,No,0,Travel_Frequently,"Research & Development",Bachelor,Medical,945,82,10880,5083,13,0,"Manufacturing Director",3,High,Yes,"Very High",Low,High,Better,Excellent,21,1,2,21,6,2,8,22,"Mid Career","High Income",Veteran
33,Female,Single,No,0,Non-Travel,Sales,"Below College","Life Sciences",1038,88,2342,21437,19,0,"Sales Representative",1,Medium,No,Medium,"Very High","Very High",Good,Excellent,3,0,2,2,2,2,2,8,"Early Career","Low Income","New Employee"
45,Female,Married,No,0,Travel_Rarely,Sales,College,"Life Sciences",1234,90,17650,5404,13,1,Manager,4,High,No,"Very High","Very High",Medium,Best,Excellent,26,3,4,9,3,1,1,11,"Mid Career","High Income",Experienced
32,Female,Single,No,0,Non-Travel,"Research & Development",Master,Medical,1109,69,4025,11135,12,0,"Laboratory Technician",1,High,No,"Very High",High,Medium,Better,Excellent,10,9,2,8,7,7,7,29,"Early Career","Mid Income",Experienced
34,Male,Divorced,No,0,Travel_Rarely,Sales,Master,Marketing,216,75,9725,12278,11,1,"Sales Executive",2,"Very High",No,Medium,"Very High","Very High",Good,Excellent,16,0,2,15,1,0,9,1,"Early Career","High Income",Veteran
59,Male,Married,No,0,Travel_Rarely,Sales,College,"Technical Degree",1089,66,11904,11038,14,1,Manager,3,High,Yes,Medium,"Very High",High,Bad,Excellent,14,3,1,6,4,0,4,1,"Senior Employee","High Income",Experienced
45,Male,Single,No,0,Travel_Rarely,"Human Resources",Master,Medical,788,36,2177,8318,16,0,"Human Resources",1,High,No,Medium,Medium,Low,Better,Excellent,6,1,3,6,3,0,4,24,"Mid Career","Low Income",Experienced
53,Female,Married,No,0,Travel_Frequently,Sales,Bachelor,Marketing,124,38,7525,23537,12,1,"Sales Executive",3,Medium,No,High,Medium,Low,Better,Excellent,30,2,2,15,7,6,12,2,"Senior Employee","High Income",Veteran
36,Male,Divorced,Yes,1,Travel_Rarely,"Research & Development",Bachelor,Other,660,81,4834,7858,14,1,"Laboratory Technician",2,High,No,Low,High,Medium,Good,Excellent,9,7,3,1,0,0,0,15,"Mid Career","Mid Income","New Employee"
26,Male,Married,Yes,1,Travel_Frequently,"Research & Development",Bachelor,"Life Sciences",342,57,2042,15346,14,1,"Research Scientist",1,High,Yes,Low,Low,Medium,Better,Excellent,6,6,2,3,2,1,2,2,"Early Career","Low Income","Early Tenure"
34,Female,Married,No,0,Travel_Rarely,Sales,Master,"Life Sciences",1333,87,2220,18410,19,1,"Sales Representative",1,High,Yes,High,High,"Very High",Better,Excellent,1,1,2,1,1,0,0,10,"Early Career","Low Income","New Employee"
28,Male,Married,No,0,Travel_Rarely,Sales,"Below College",Medical,1144,74,1052,23384,22,0,"Sales Representative",1,High,No,"Very High",Medium,Medium,Better,Outstanding,1,1,5,1,0,0,0,10,"Early Career","Low Income","New Employee"
38,Male,Married,No,0,Travel_Frequently,"Research & Development",Master,Other,1186,44,2821,2997,16,1,"Research Scientist",1,High,No,High,High,Low,Better,Excellent,8,3,2,2,2,2,2,3,"Mid Career","Low Income","New Employee"
50,Male,Married,No,0,Travel_Rarely,"Research & Development",Master,Medical,1464,62,19237,12853,11,1,"Research Director",5,High,Yes,Medium,High,"Very High",Good,Excellent,29,2,2,8,1,7,7,2,"Senior Employee","High Income",Experienced
37,Female,Single,No,0,Travel_Rarely,"Research & Development",Bachelor,Other,124,35,4107,13848,15,0,"Healthcare Representative",2,High,No,"Very High",Medium,Low,Good,Excellent,8,3,3,4,3,0,1,3,"Mid Career","Mid Income","Early Tenure"
40,Male,Married,No,0,Travel_Rarely,Sales,Bachelor,Marketing,300,74,8396,22217,14,1,"Sales Executive",2,High,No,High,Low,Medium,Good,Excellent,8,1,3,7,7,7,5,26,"Mid Career","High Income",Experienced
26,Female,Divorced,No,0,Travel_Frequently,"Research & Development","Below College",Medical,921,66,2007,25265,13,2,"Research Scientist",1,Medium,No,Low,High,High,Better,Excellent,5,1,5,5,3,1,3,1,"Early Career","Low Income","Early Tenure"
46,Male,Divorced,No,0,Travel_Rarely,"Research & Development",Master,Medical,430,40,19627,21445,17,2,"Research Director",5,High,No,"Very High","Very High","Very High",Better,Excellent,23,9,0,2,2,2,2,1,"Senior Employee","High Income","New Employee"
54,Female,Married,No,0,Travel_Rarely,Sales,Master,"Life Sciences",1082,41,10686,8392,11,1,"Sales Executive",3,Medium,No,High,High,Medium,Better,Excellent,13,6,4,9,4,7,0,2,"Senior Employee","High Income",Experienced
56,Female,Married,No,0,Travel_Frequently,"Research & Development",Bachelor,Medical,1240,63,2942,12154,19,1,"Research Scientist",1,High,No,Low,High,Medium,Better,Excellent,18,2,4,5,4,0,3,9,"Senior Employee","Low Income","Early Tenure"
36,Female,Single,No,0,Travel_Rarely,"Research & Development",Doctor,Medical,796,51,8858,15669,11,0,"Manufacturing Director",3,Medium,No,"Very High","Very High",Medium,Good,Excellent,15,0,2,14,8,7,8,12,"Mid Career","High Income",Veteran
55,Male,Single,No,0,Non-Travel,"Research & Development","Below College",Medical,444,40,16756,17323,15,0,Manager,4,Medium,No,High,Low,Medium,Best,Excellent,31,7,3,9,7,6,2,2,"Senior Employee","High Income",Experienced
43,Male,Divorced,No,0,Travel_Rarely,Sales,Bachelor,Medical,415,79,10798,5268,13,1,"Sales Executive",3,Medium,No,High,"Very High",High,Better,Excellent,18,5,5,1,0,0,0,25,"Mid Career","High Income","New Employee"
20,Female,Single,Yes,1,Travel_Frequently,Sales,Bachelor,Marketing,769,54,2323,17205,14,0,"Sales Representative",1,High,Yes,"Very High","Very High",Medium,Better,Excellent,2,1,3,2,2,0,2,9,"Young Adult","Low Income","New Employee"
21,Female,Single,Yes,1,Travel_Rarely,"Research & Development",Bachelor,"Life Sciences",1334,36,1416,17258,13,0,"Laboratory Technician",1,Medium,No,High,Low,Low,Good,Excellent,1,1,6,1,0,1,0,10,"Young Adult","Low Income","New Employee"
46,Female,Divorced,No,0,Travel_Rarely,"Research & Development",Master,"Life Sciences",1003,74,4615,21029,23,3,"Research Scientist",2,Medium,Yes,"Very High",Low,Low,Better,Outstanding,19,8,2,16,13,1,7,8,"Senior Employee","Mid Income",Veteran
51,Male,Married,Yes,1,Travel_Rarely,"Research & Development",Master,"Life Sciences",1323,34,2461,10332,12,3,"Research Scientist",1,High,Yes,Low,High,High,Best,Excellent,18,9,2,10,0,2,7,4,"Senior Employee","Low Income",Experienced
28,Male,Single,Yes,1,Non-Travel,"Research & Development",College,"Technical Degree",1366,72,8722,12355,12,0,"Healthcare Representative",3,Medium,No,Medium,Low,Low,Good,Excellent,10,1,2,10,7,1,9,24,"Early Career","High Income",Experienced
26,Male,Married,No,0,Travel_Rarely,"Research & Development",College,Medical,192,59,3955,11141,16,2,"Laboratory Technician",1,Medium,No,Low,Low,Low,Better,Excellent,6,1,2,5,3,1,3,1,"Early Career","Mid Income","Early Tenure"
30,Male,Married,No,0,Travel_Rarely,"Research & Development",Bachelor,Other,1176,85,9957,9096,15,1,"Manufacturing Director",2,High,No,High,Low,High,Good,Excellent,7,0,1,6,2,0,2,20,"Early Career","High Income",Experienced
41,Female,Married,No,0,Travel_Rarely,"Research & Development",College,"Technical Degree",509,43,3376,18863,13,0,"Research Scientist",1,"Very High",No,Medium,High,High,Better,Excellent,10,1,3,10,6,0,8,7,"Mid Career","Mid Income",Experienced
38,Female,Married,No,0,Travel_Rarely,"Research & Development","Below College","Life Sciences",330,65,8823,24608,18,1,"Healthcare Representative",3,Medium,No,High,High,Low,Good,Excellent,20,0,4,19,9,1,9,17,"Mid Career","High Income",Veteran
40,Male,Married,No,0,Travel_Rarely,"Research & Development",Master,"Technical Degree",1492,61,10322,26542,20,1,"Healthcare Representative",3,High,No,Low,"Very High","Very High",Better,Outstanding,14,4,6,11,10,11,1,20,"Mid Career","High Income",Veteran
27,Male,Married,No,0,Non-Travel,"Research & Development",Doctor,"Life Sciences",1277,87,4621,5869,19,3,"Laboratory Technician",1,Low,No,Low,High,"Very High",Better,Excellent,3,1,4,3,2,1,2,8,"Early Career","Mid Income","Early Tenure"
55,Male,Married,No,0,Travel_Frequently,"Research & Development","Below College","Life Sciences",1091,65,10976,15813,18,1,"Manufacturing Director",3,High,No,"Very High",Medium,Medium,Better,Excellent,23,3,4,3,2,1,2,2,"Senior Employee","High Income","Early Tenure"
28,Female,Single,No,0,Travel_Rarely,"Research & Development",Bachelor,Other,857,59,3660,7909,13,0,"Research Scientist",2,High,No,High,High,"Very High",Best,Excellent,10,3,4,8,7,1,7,10,"Early Career","Mid Income",Experienced
44,Male,Married,Yes,1,Travel_Rarely,"Human Resources",College,Medical,1376,91,10482,2326,14,1,"Human Resources",3,Medium,No,Medium,Low,"Very High",Better,Excellent,24,9,1,20,6,3,6,1,"Mid Career","High Income",Veteran
33,Male,Divorced,No,0,Travel_Rarely,"Research & Development",Bachelor,"Life Sciences",654,34,7119,21214,15,1,"Healthcare Representative",3,Medium,No,"Very High","Very High",High,Better,Excellent,9,4,2,3,2,1,2,5,"Early Career","High Income","Early Tenure"
35,Male,Single,Yes,1,Travel_Rarely,Sales,Bachelor,"Technical Degree",1204,86,9582,10333,22,0,"Sales Executive",3,High,Yes,"Very High",Low,Low,Better,Outstanding,9,0,2,8,7,4,7,4,"Early Career","High Income",Experienced
33,Female,Single,Yes,1,Travel_Frequently,"Research & Development",Master,Medical,827,54,4508,3129,22,0,"Research Scientist",2,Medium,No,Low,High,Medium,Better,Outstanding,14,1,4,13,7,3,8,29,"Early Career","Mid Income",Veteran
28,Male,Divorced,No,0,Travel_Rarely,"Research & Development",College,"Life Sciences",895,50,2207,22482,16,1,"Laboratory Technician",1,High,No,Low,High,"Very High",Good,Excellent,4,1,5,4,2,2,2,15,"Early Career","Low Income","Early Tenure"
34,Male,Single,No,0,Travel_Frequently,"Research & Development","Below College","Life Sciences",618,45,7756,22266,17,0,"Healthcare Representative",2,High,No,Low,"Very High",High,Good,Excellent,7,0,1,6,2,0,4,3,"Early Career","High Income",Experienced
37,Female,Divorced,No,0,Travel_Rarely,Sales,Master,"Life Sciences",309,88,6694,24223,14,3,"Sales Executive",2,Medium,Yes,"Very High","Very High",High,Better,Excellent,8,2,5,1,0,0,0,10,"Mid Career","Mid Income","New Employee"
25,Male,Married,Yes,1,Travel_Rarely,"Research & Development","Below College","Technical Degree",1219,32,3691,4605,15,1,"Laboratory Technician",1,High,Yes,"Very High","Very High",Medium,Best,Excellent,7,1,3,7,7,5,6,4,"Young Adult","Mid Income",Experienced
26,Male,Divorced,Yes,1,Travel_Rarely,"Research & Development",Bachelor,Medical,1330,37,2377,19373,20,1,"Laboratory Technician",1,High,No,Low,High,High,Good,Outstanding,1,1,0,1,1,0,0,21,"Early Career","Low Income","New Employee"
33,Male,Single,Yes,1,Travel_Rarely,"Research & Development",Bachelor,Medical,1017,55,2313,2993,20,0,"Research Scientist",1,Medium,Yes,Low,Medium,Medium,Better,Outstanding,5,4,0,2,2,2,2,25,"Early Career","Low Income","New Employee"
42,Male,Married,No,0,Travel_Rarely,"Research & Development",College,Medical,469,35,17665,14399,17,1,Manager,4,High,No,"Very High",Low,"Very High",Better,Excellent,23,0,3,22,6,13,7,2,"Mid Career","High Income",Veteran
28,Male,Divorced,Yes,1,Travel_Frequently,"Research & Development",Bachelor,Medical,1009,45,2596,7160,15,2,"Laboratory Technician",1,Medium,No,Low,Medium,Low,Better,Excellent,1,1,2,1,0,0,0,1,"Early Career","Low Income","New Employee"
50,Male,Single,Yes,1,Travel_Frequently,Sales,Master,Other,959,81,4728,17251,14,0,"Sales Executive",2,High,Yes,"Very High",High,"Very High",Better,Excellent,5,3,4,0,0,0,0,1,"Senior Employee","Mid Income","New Employee"
33,Female,Married,No,0,Travel_Frequently,Sales,Bachelor,"Life Sciences",970,30,4302,13401,17,1,"Sales Executive",2,High,No,"Very High",Medium,High,Better,Excellent,4,0,3,3,2,0,2,7,"Early Career","Mid Income","Early Tenure"
34,Male,Married,No,0,Non-Travel,"Research & Development",Master,"Life Sciences",697,40,2979,22478,17,3,"Research Scientist",1,Medium,No,High,"Very High","Very High",Better,Excellent,6,3,2,0,0,0,0,3,"Early Career","Low Income","New Employee"
48,Male,Single,No,0,Non-Travel,"Research & Development",Master,Medical,1262,35,16885,16154,22,0,Manager,4,"Very High",No,Low,"Very High",High,Good,Outstanding,27,2,3,5,4,2,1,1,"Senior Employee","High Income","Early Tenure"
45,Female,Married,No,0,Non-Travel,Sales,Master,"Life Sciences",1050,65,5593,17970,13,1,"Sales Executive",2,Medium,No,Medium,High,"Very High",Better,Excellent,15,1,2,15,10,4,12,9,"Mid Career","Mid Income",Veteran
52,Male,Single,No,0,Travel_Rarely,"Research & Development",Master,"Life Sciences",994,87,10445,15322,19,0,"Healthcare Representative",3,High,No,Medium,Medium,"Very High",Better,Excellent,18,7,4,8,6,4,0,7,"Senior Employee","High Income",Experienced
38,Male,Divorced,No,0,Travel_Rarely,Sales,Master,Marketing,770,73,8740,5569,14,2,"Sales Executive",3,Medium,Yes,High,High,Medium,Better,Excellent,9,0,2,8,7,2,7,10,"Mid Career","High Income",Experienced
29,Female,Divorced,No,0,Travel_Rarely,"Research & Development",Master,"Life Sciences",1107,93,2514,26968,22,1,"Research Scientist",1,High,No,High,"Very High",Low,Better,Outstanding,11,4,1,7,5,1,7,28,"Early Career","Low Income",Experienced
28,Female,Divorced,No,0,Travel_Rarely,"Research & Development",Bachelor,Medical,950,93,7655,8039,17,3,"Manufacturing Director",3,High,No,"Very High",Medium,Medium,Good,Excellent,10,0,3,9,7,1,7,3,"Early Career","High Income",Experienced
46,Male,Married,No,0,Travel_Rarely,Sales,"Below College",Marketing,406,52,17465,15596,12,1,Manager,4,High,No,Low,High,"Very High",Better,Excellent,23,3,3,12,9,4,9,3,"Senior Employee","High Income",Veteran
38,Male,Single,No,0,Travel_Rarely,Sales,College,Marketing,130,32,7351,20619,16,0,"Sales Executive",3,High,No,"Very High",Medium,High,Better,Excellent,10,7,2,1,0,0,0,2,"Mid Career","High Income","New Employee"
43,Female,Married,No,0,Travel_Frequently,"Research & Development",Bachelor,"Life Sciences",1082,83,10820,11535,11,1,"Manufacturing Director",3,High,No,High,Low,High,Better,Excellent,18,8,1,8,7,0,1,27,"Mid Career","High Income",Experienced
39,Male,Divorced,Yes,1,Travel_Frequently,"Research & Development",Bachelor,"Life Sciences",203,84,12169,13547,11,3,"Healthcare Representative",4,High,No,Low,"Very High","Very High",Better,Excellent,21,7,4,18,7,11,5,2,"Mid Career","High Income",Veteran
40,Male,Single,No,0,Travel_Rarely,"Research & Development",Bachelor,Medical,1308,44,19626,17544,14,0,"Research Director",5,Medium,No,High,High,Low,Best,Excellent,21,1,2,20,7,4,9,14,"Mid Career","High Income",Veteran
21,Female,Single,No,0,Travel_Rarely,"Research & Development","Below College","Technical Degree",984,70,2070,25326,11,0,"Research Scientist",1,Medium,Yes,"Very High",Medium,High,Best,Excellent,2,1,6,2,2,2,2,1,"Young Adult","Low Income","New Employee"
39,Male,Single,No,0,Non-Travel,"Research & Development",Bachelor,"Life Sciences",439,70,6782,8770,15,0,"Laboratory Technician",2,High,No,High,Medium,High,Good,Excellent,9,9,2,5,4,0,3,9,"Mid Career","Mid Income","Early Tenure"
36,Male,Single,No,0,Non-Travel,"Research & Development",Master,"Life Sciences",217,78,7779,23238,20,0,"Manufacturing Director",2,High,No,Low,"Very High",Low,Better,Outstanding,18,2,0,11,9,0,9,18,"Mid Career","High Income",Veteran
31,Male,Married,No,0,Travel_Frequently,Sales,Bachelor,"Life Sciences",793,67,2791,21981,12,1,"Sales Representative",1,"Very High",No,High,"Very High",Low,Better,Excellent,3,0,4,2,2,2,2,20,"Early Career","Low Income","New Employee"
